Data;IFIX;IBOV;Juros;Ouro;Bitcoin;Real/USD
06.09.2024;3.386,56;134572;10,4;2524,6;53966,8;5,599
05.09.2024;3.382,37;136502;10,4;2543,1;56183,2;5,5741
04.09.2024;3.385,35;136111;10,4;2526;57973,4;5,6399
03.09.2024;3.383,71;134353;10,4;2523;57479,8;5,6454
30.08.2024;3.393,55;136004;10,4;2527,6;59119,7;5,6103
29.08.2024;3.385,87;136041;10,4;2560,3;59373,5;5,6266
28.08.2024;3.381,68;137344;10,4;2537,8;59016;5,5644
27.08.2024;3.383,92;136776;10,4;2552,9;59450,9;5,5082
26.08.2024;3.386,89;136889;10,4;2555,2;62846,2;5,495
23.08.2024;3.388,44;135608;10,4;2546,3;64053,1;5,4863
22.08.2024;3.378,64;135173;10,4;2516,7;60372,2;5,5834
21.08.2024;3.381,82;136464;10,4;2547,5;61158,1;5,4858
20.08.2024;3.382,52;136087;10,4;2550,6;59005,8;5,478
19.08.2024;3.382,02;135778;10,4;2541,3;59470,9;5,4121
16.08.2024;3.385,46;133953;10,4;2537,8;58877,2;5,4753
15.08.2024;3.374,02;134153;10,4;2492,4;57534,6;5,4827
14.08.2024;3.363,10;133318;10,4;2479,7;58707,8;5,473
13.08.2024;3.355,20;132398;10,4;2507,8;60595,2;5,4538
12.08.2024;3.352,25;131116;10,4;2504;59350;5,4974
09.08.2024;3.349,97;130615;10,4;2473,4;60850,6;5,5064
08.08.2024;3.345,06;128661;10,4;2463,3;61699,7;5,5493
07.08.2024;3.349,29;127514;10,4;2432,4;55120,9;5,6341
06.08.2024;3.347,44;126267;10,4;2431,6;56057,8;5,6623
05.08.2024;3.352,64;125270;10,4;2444,4;53979;5,7238
02.08.2024;3.368,97;125854;10,4;2469,8;61478,7;5,7273
01.08.2024;3.365,60;127395;10,4;2480,8;65372,9;5,7483
31.07.2024;3.364,78;127652;10,4;2473;64626;5,65
30.07.2024;3.358,40;126139;10,4;2451,9;66184,9;5,6121
29.07.2024;3.353,38;126954;10,4;2401,8;66798,7;5,6159
26.07.2024;3.375,85;127492;10,4;2404,5;67908,6;5,6557
25.07.2024;3.375,00;125954;10,4;2376,6;65799,3;5,6442
24.07.2024;3.381,51;126423;10,4;2439,6;65370,5;5,6536
23.07.2024;3.386,19;126590;10,4;2431;65937,8;5,5846
22.07.2024;3.390,99;127860;10,4;2418,4;67553,6;5,5779
19.07.2024;3.391,72;127616;10,4;2423;66677,4;5,5952
18.07.2024;3.382,64;127652;10,4;2480,8;63980,5;5,546
17.07.2024;3.388,10;129450;10,4;2484,3;64089,2;5,4821
16.07.2024;3.382,99;129110;10,4;2492;65049,7;5,4286
15.07.2024;3.375,26;129321;10,4;2452,9;64782,4;5,4448
12.07.2024;3.370,07;128897;10,4;2444,5;57885,1;5,4285
11.07.2024;3.350,64;128294;10,4;2445,6;57337,3;5,4381
10.07.2024;3.349,04;127218;10,4;2403,2;57746,7;5,4144
09.07.2024;3.349,16;127108;10,4;2391,2;58039,4;5,4222
08.07.2024;3.347,36;126548;10,4;2387;56724,7;5,4699
05.07.2024;3.341,64;126267;10,4;2421,1;56641,8;5,4592
04.07.2024;3.323,67;126164;10,4;2364,6;57026,3;5,4887
03.07.2024;3.302,82;125662;10,4;2392,6;60199,3;5,5563
02.07.2024;3.305,51;124787;10,4;2356,4;62103,3;5,6777
01.07.2024;3.318,84;124718;10,4;2361,9;62890,1;5,6603
28.06.2024;3.347,33;123907;10,4;2362,5;60403,3;5,5925
27.06.2024;3.328,12;124308;10,4;2359,3;61685,3;5,5019
26.06.2024;3.311,05;122641;10,4;2335,9;60849,4;5,5194
25.06.2024;3.301,23;122331;10,4;2353,5;61809,4;5,4509
24.06.2024;3.296,23;122637;10,4;2367,2;60292,7;5,3928
21.06.2024;3.299,38;121341;10,4;2353,9;64128,5;5,4302
20.06.2024;3.301,49;120446;10,4;2391,8;64854,3;5,4483
19.06.2024;3.300,19;120261;10,4;2343;64980,9;5,4362
18.06.2024;3.301,41;119630;10,4;2369,5;65159,9;5,4359
17.06.2024;3.305,93;119138;10,4;2351,8;66498,8;5,4195
14.06.2024;3.312,59;119662;10,4;2371,9;66034,8;5,3757
13.06.2024;3.295,71;119568;10,4;2340,6;66773,1;5,3636
12.06.2024;3.320,42;119936;10,4;2377,5;68260,1;5,4123
11.06.2024;3.334,98;121635;10,4;2349,1;67319,8;5,3662
10.06.2024;3.345,21;120760;10,4;2349,6;69538,2;5,3547
07.06.2024;3.358,85;120767;10,4;2347,6;69347,9;5,3448
06.06.2024;3.358,89;122899;10,4;2413,7;70791,5;5,256
05.06.2024;3.356,08;121407;10,4;2398,1;71083,7;5,2964
04.06.2024;3.364,04;121802;10,4;2369,7;70549,2;5,2861
03.06.2024;3.371,58;122032;10,4;2392;68807,8;5,2467
31.05.2024;3.382,34;122098;10,4;2368,5;67530,1;5,2443
29.05.2024;3.371,11;122707;10,4;2364,1;67635,8;5,2018
28.05.2024;3.363,68;123780;10,4;2379,3;68366;5,1611
27.05.2024;3.374,83;124496;10,4;2356,5;69428,7;5,1708
24.05.2024;3.379,01;124306;10,4;2356,9;68547,6;5,166
23.05.2024;3.374,75;124729;10,4;2359,7;67975,7;5,1442
22.05.2024;3.383,74;125650;10,4;2415,7;69155,4;5,1503
21.05.2024;3.386,75;127412;10,4;2449,1;70139,9;5,1225
20.05.2024;3.391,26;127751;10,4;2461,7;71422,7;5,1033
17.05.2024;3.392,31;128151;10,4;2440,4;67036,8;5,1031
16.05.2024;3.379,54;128284;10,4;2408,3;65231;5,1288
15.05.2024;3.372,59;128028;10,4;2417,6;66225,1;5,1373
14.05.2024;3.367,72;128515;10,4;2382,5;61569,4;5,1299
13.05.2024;3.376,50;128155;10,4;2365,7;62937,2;5,1511
10.05.2024;3.397,79;127600;10,4;2397,7;60796,9;5,1584
09.05.2024;3.389,27;128188;10,4;2362,7;63075;5,1412
08.05.2024;3.398,10;129481;10,65;2344,8;61207,5;5,0909
07.05.2024;3.394,53;129210;10,65;2346,6;62317,7;5,0707
06.05.2024;3.392,61;128466;10,65;2353,4;63163,1;5,0758
03.05.2024;3.391,61;128509;10,65;2330,6;62877,5;5,0722
02.05.2024;3.376,40;127122;10,65;2331,6;59121,3;5,1113
30.04.2024;3.381,79;125924;10,65;2324,7;60666,6;5,1934
29.04.2024;3.374,93;127352;10,65;2379,8;63860,1;5,1189
26.04.2024;3.366,74;126526;10,65;2369,3;63766,4;5,1151
25.04.2024;3.360,86;124646;10,65;2364,5;64497,1;5,1602
24.04.2024;3.365,41;124741;10,65;2360,3;64285,7;5,1457
23.04.2024;3.373,24;125148;10,65;2363,7;66415;5,126
22.04.2024;3.380,00;125573;10,65;2368,1;66829,3;5,168
19.04.2024;3.391,17;125124;10,65;2436,1;63799,1;5,2027
18.04.2024;3.386,78;124196;10,65;2420,1;63481,4;5,2482
17.04.2024;3.391,31;124171;10,65;2410,5;61278,9;5,242
16.04.2024;3.402,52;124389;10,65;2430;63805,3;5,2826
15.04.2024;3.412,68;125334;10,65;2405,1;63411,9;5,1846
12.04.2024;3.423,95;125946;10,65;2396,3;67151,9;5,1175
11.04.2024;3.417,57;127396;10,65;2394,6;70011,6;5,0917
10.04.2024;3.418,43;128054;10,65;2370,1;70622,1;5,0746
09.04.2024;3.420,76;129890;10,65;2383,9;69148;5,009
08.04.2024;3.421,87;128857;10,65;2372,3;71630,1;5,0268
05.04.2024;3.422,18;126795;10,65;2366,6;67830,6;5,0655
04.04.2024;3.414,28;127428;10,65;2329,4;68496,5;5,0538
03.04.2024;3.412,02;127318;10,65;2335,9;65963;5,0393
02.04.2024;3.406,57;127549;10,65;2302,4;65439,2;5,0576
01.04.2024;3.403,41;126990;10,65;2277,5;69664,4;5,0543
28.03.2024;3.408,15;128106;10,65;2258,4;70762,1;5,0129
27.03.2024;3.395,41;127691;10,65;2232,4;69442,4;4,9866
26.03.2024;3.392,25;126863;10,65;2199,2;69999,3;4,9808
25.03.2024;3.390,05;126931;10,65;2198,2;69892;4,9751
22.03.2024;3.393,14;127027;10,65;2181,6;63785,5;4,9997
21.03.2024;3.381,26;128159;10,65;2206,5;65503,8;4,9781
20.03.2024;3.378,25;129125;11,15;2182,4;67854;4,9691
19.03.2024;3.373,64;127529;11,15;2181,2;62050;5,0301
18.03.2024;3.374,01;126954;11,15;2185,9;67594,1;5,0253
15.03.2024;3.367,01;126742;11,15;2183,1;69463,7;4,9949
14.03.2024;3.365,68;127690;11,15;2189,1;71387,5;4,9895
13.03.2024;3.367,44;128006;11,15;2202,4;73066,3;4,97
12.03.2024;3.368,76;127668;11,15;2187,7;71470,2;4,9718
11.03.2024;3.374,45;126124;11,15;2210;72099,1;4,9771
08.03.2024;3.382,28;127071;11,15;2206,3;68172;4,9806
07.03.2024;3.371,76;128340;11,15;2185,9;66855,3;4,935
06.03.2024;3.365,18;128890;11,15;2178,8;66080,4;4,9446
05.03.2024;3.366,96;128098;11,15;2162,5;63792,6;4,9581
04.03.2024;3.364,83;128341;11,15;2146,8;68270,1;4,9458
01.03.2024;3.366,50;129180;11,15;2116;62397,7;4,9541
29.02.2024;3.360,00;129020;11,15;2074,6;61169,3;4,9716
28.02.2024;3.343,32;130155;11,15;2062,7;62467,6;4,9675
27.02.2024;3.346,00;131689;11,15;2064,1;57056,2;4,9335
26.02.2024;3.352,02;129609;11,15;2058,8;54495,1;4,9799
23.02.2024;3.363,24;129419;11,15;2069,3;50740,5;4,9951
22.02.2024;3.354,50;130241;11,15;2050,5;51320,4;4,9605
21.02.2024;3.356,04;130032;11,15;2054;51858,2;4,9358
